Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,domain,investor_page
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957,1902,3m.com,https://investor.3m.com
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,1916,aosmith.com,https://investor.aosmith.com
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957,1888,abbott.com,https://abbott.com/investors
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,2013 (1888),abbvie.com,https://investors.abbvie.com
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989,accenture.com,https://www.accenture.com/cr-en/about/contact-us
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,2008,blizzard.com,https://investor.activision.com/annual-reports
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",3/4/1957,1902,adm.com,https://investors.adm.com
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,1982,adobe.com,https://adobe.com/investor-relations
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/1981,1949,adp.com,https://investors.adp.com/overview/default.aspx
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932,advanceautoparts.com,https://advanceautoparts.com/investor-relations
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,1981,aes.com,https://investor.aes.com
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,1955,aflac.com,https://investors.aflac.com
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999,agilent.com,https://www.investor.agilent.com/overview/default.aspx
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,1940,airproducts.com,https://investors.airproducts.com
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1998,akamai.com,https://www.ir.akamai.com/
ALK,Alaska Air Group,Industrials,Airlines,"SeaTac, Washington",5/13/2016,1985,news.alaskaair.com,https://news.alaskaair.com/investor-relations
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994,albemarle.com,https://investors.albemarle.com
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1994,alexandriava.gov,https://thezebra.org/2021/09/13/early-voting-begins-sept-17-for-nov-general-election-in-alexandria/
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1997,alignprobiotics.com,https://www.crunchbase.com/organization/align-probiotic
ALLE,Allegion,Industrials,Building Products,"New York City, New York",12/2/2013,1908,allegion.com,https://www.allegion.com/corp/en/ma-ventures/m-a-contact.html
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917,alliantenergy.com,https://investors.alliantenergy.com
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,1931,allstate.com,https://www.allstateinvestors.com/
GOOGL,Alphabet Inc.Â (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998,abc.xyz,https://alphabet2025ir.q4web.com/investor/news/news-details/2025/Alphabet-Announces-Date-of-First-Quarter-2025-Financial-Results-Conference-Call-04-14-2025/default.aspx
GOOG,Alphabet Inc.Â (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998,abc.xyz,https://abc.xyz/investor/
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985,altria.com,https://www.altria.com/contact-us/investors
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1994,amazon.com,https://ir.aboutamazon.com/overview/default.aspx
AMCR,Amcor,Materials,Paper Packaging,"Warmley,Â Bristol, United Kingdom",6/7/2019,2019 (1860),amcorinc.com,https://www.amcor.com/investors
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,1969,amd.com,https://ir.amd.com/news-events
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1902,ameren.com,https://www.amereninvestors.com/investor-contacts/investor-contacts/default.aspx
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,1934,aa.com,https://americanairlines.gcs-web.com/
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906,aep.com,https://aep.com/investors
AXP,American Express,Financials,Consumer Finance,"New York City, New York",6/30/1976,1850,americanexpress.com,https://ir.americanexpress.com/Investor-Relations/
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",3/31/1980,1919,aig.com,https://aig.com/investor-relations
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1995,americantower.com,https://markets.financialcontent.com/stocks/article/bizwire-2022-8-3-american-tower-corporation-announces-participation-in-upcoming-august-investor-conferences
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886,awwa.org,https://investor.awwa.org
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,1894,ameriprise.com,https://ir.ameriprise.com/overview/default.aspx
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001,1985,amerisourcebergen.com,https://investor.amerisourcebergen.com/overview/default.aspx
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1930,ametek.com,https://investors.ametek.com
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980,amgen.com,https://investors.amgen.com
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,1932,amphenol.com/,https://investors.amphenol.com/home/default.aspx
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",10/12/1999,1965,analog.com,https://investor.analog.com
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1969,ansys.com,https://investors.ansys.com
AON,Aon,Financials,Insurance Brokers,"London, UK",4/23/1996,1982 (1919),aon.com,https://ir.aon.com/
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1954,apacorp.com,https://investor.apacorp.com
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,1977,apple.com,https://investor.apple.com/investor-relations/default.aspx
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,1967,appliedmaterials.com,https://investor.appliedmaterials.com
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1994,aptiv.com,https://aptiv.com/investors
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",11/1/2022,1995,archgroup.com,https://ir.archgroup.com/overview/default.aspx
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,2004,arista.com,https://arista.com/investor-relations
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,1927,ajg.com,https://ajg.com/investor-relations
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",4/10/2007,1892,assurant.com,https://ir.assurant.com/overview/default.aspx
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,1983 (1885),att.com,https://about.att.com/story/2024/analyst-and-investor-day.html
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,1906,atmosenergy.com,https://ycharts.com/companies/ATO
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",12/1/1989,1982,autodesk.com,https://investors.autodesk.com
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,1979,autozone.com,https://investors.autozone.com
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia",1/10/2007,1978,avaloncommunities.com,https://www.avaloncommunities.com/about-us/leadership/alaine-s-walsh/
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",12/31/1987,1990,averydennison.com,https://averydennison2024irday.q4ir.com/home/default.aspx
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,2017,bakerhughes.com,https://investors.bakerhughes.com
BALL,Ball Corporation,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,1880,ball.com,https://investors.ball.com
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,1998 (1923 / 1874),bankofamerica.com,https://investor.bankofamerica.com
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,"Columbus, Ohio",9/30/1983,1963,bathandbodyworks.com,https://www.globenewswire.com/news-release/2021/08/03/2273578/0/en/Bath-Body-Works-Inc-Completes-Separation-of-Victoria-s-Secret.html
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,1931,baxter.com,https://investor.baxter.com
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,1897,bd.com,https://investors.bd.com
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,1967,berkley.com,https://www.berkley.com/contact
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1839,berkshirehathaway.com,https://www.berkshirehathaway.com/2024ar/2024ar.pdf
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,1966,bestbuy.com,https://investors.bestbuy.com/overview/default.aspx
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,1952,bio-rad.com,https://investors.bio-rad.com/overview/default.aspx
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021,1976,bio-techne.com,https://investors.bio-techne.com
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,1978,biogen.com,https://investors.biogen.com
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011,1988,blackrock.com,https://ir.blackrock.com/home/default.aspx
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995,1784,bny.com,https://www.bny.com/investments/us/en/intermediary/resources/contact-us.html
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,1916,boeing.com,https://investors.boeing.com
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1996,bookingholdings.com,https://www.prnewswire.com/news-releases/booking-holdings-inc-to-present-at-the-nasdaq-49th-investor-conference-301983241.html
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,1880,borgwarner.com,https://investor.borgwarner.com
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1970,bxp.com,https://investors.bxp.com
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995,1979,bostonscientific.com,https://saunaliege.info/article/boston-scientific-investor-conference-key-insights-what-to-expect
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957,1989 (1887),bms.com,https://bms.com/investors
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1961,broadcom.com,https://investor.broadcom.com
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1962,broadridge.com,https://investor.broadridge.com
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021,1939,bbrown.com,https://investor.bbrown.com
BF.B,BrownÂForman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,1870,brown-forman.com,https://brown-forman.com/investor-relations
BG,Bunge Limited,Consumer Staples,Agricultural Products,"Chesterfield, Missouri",3/15/2023,1818,bunge.com,https://pitchbook.com/profiles/investor/233900-38
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1905,g10fulfillment.com,https://www.crunchbase.com/organization/g10-fulfillment
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,1988,cadence.com,https://ir.cadencebank.com/
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021,1973,caesars.com,https://investor.caesars.com
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",4/4/2022,1981,camdenliving.com,https://investors.camdenliving.com/investors/financials/annual-reports/default.aspx
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,1869,thecampbellscompany.com,https://investor.thecampbellscompany.com
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1994,capitalone.com,https://investor.capitalone.com
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,1971,cardinalhealth.com,https://ir.cardinalhealth.com/overview/default.aspx
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010,1993,carmax.com,https://investors.carmax.com/resources/investor-faqs/default.aspx
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,1972,carnival.com,https://www.carnivalcorp.com/Investors
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,2020 (1915),corporate.carrier.com,https://www.corporate.carrier.com/contact-us/
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020,2007,catalent.com,https://investor.catalent.com/governance/committee-composition/default.aspx
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Irving, Texas",3/4/1957,1925,caterpillar.com,https://investors.caterpillar.com/overview/default.aspx
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1973,cboe.com,https://ir.cboe.com/overview/default.aspx
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006,1906,cbre.com,https://ir.cbre.com/
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1984,cdw.com,https://investor.cdw.com
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1918,celanese.com,https://investors.celanese.com
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016,1984,centene.com,https://investors.centene.com
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1882,centerpointenergy.com,https://investors.centerpointenergy.com
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",9/20/2021,1992,dayforce.com,https://investors.dayforce.com/investor-resources/investor-faqs/default.aspx
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1946,cfindustries.com,https://ir.cfindustries.com/Investors/financials/sec-filings/default.aspx
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021,1947,criver.com,https://ir.criver.com/
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,1971,schwab.com,https://schwab.com/investor-relations
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993,corporate.charter.com,https://www.ipaddress.com/website/ir.charter.com/
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879,chevron.com,https://chevron.com/investors
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1993,chipotle.com,https://ir.chipotle.com/
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,1985,chubb.com,https://investors.chubb.com/Home/default.aspx
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,1847,churchdwight.com,https://churchdwight.com/investor-relations
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1982,cigna.com,https://investors.thecignagroup.com/overview/default.aspx
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,1950,cinfin.com,https://investor.cinfin.com
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929,cintas.com,https://cintas.com/investors
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,1984,cisco.com,https://investor.cisco.com/home/default.aspx
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988,1998,citigroup.com,https://www.citigroup.com/global/investors
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,1828,citizensbank.com,https://www.citizensbank.com/about-us/our-company/overview.aspx
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969,1913,clorox.com,https://investors.thecloroxcompany.com/overview/default.aspx
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1848,cmegroup.com,https://www.cmegroup.com/investor-relations.html
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957,1886,cmsenergy.com,https://cmsenergy.com/investor-relations
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886,coca-colacompany.com,https://investors.coca-colacompany.com
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1994,cognizant.com,https://investors.cognizant.com/home/default.aspx
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957,1806,colgatepalmolive.com,https://investor.colgatepalmolive.com
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1963,business.comcast.com,https://www.cmcsa.com/contact-ir
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,1849,comerica.com,https://investor.comerica.com
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,1919,conagrabrands.com,https://conagrabrands.com/investor-relations
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002,conocophillips.com,https://investor.conocophillips.com
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York",3/4/1957,1823,consolidated.com,https://www.fidiumfiber.com/about-fidium/investors
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945,cbrands.com,"https://www.jcnnewswire.com/english/pressrelease/32506/2/Constellation-Brands-to-Host-Institutional-Investor-Meeting-in-New-York-City-on-November-9,-2016"
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",2/2/2022,1999,constellation.com,https://constellation.com/investors
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",9/23/2016,1958,coopercos.com,https://investor.coopercos.com
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982,copart.com,https://www.copart.com/Content/US/PL/Investor-Relations/Investor-Relations
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995,1851,corning.com,https://investor.corning.com/INVESTOR-RELATIONS/DEFAULT.ASPX
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019,2019,corteva.com,https://investors.corteva.com
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",9/19/2022,1987,costar.com,https://investors.costargroup.com/ir-resources
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,1976,investor.costco.com,https://investor.costco.com/overview/default.aspx
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,2021 (1989),coterra.com,https://investors.coterra.com/Investors/news/news-details/2024/Coterra-Energy-to-Participate-at-Upcoming-Conference/default.aspx
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1994,gcrowncastle.com,https://investor.crowncastle.com/
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",3/4/1957,1980,csx.com,https://investors.csx.com/overview/default.aspx
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919,cummins.com,https://investor.cummins.com
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996,cvshealth.com,https://investors.cvshealth.com
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005,1978,drhorton.com,https://www.drhorton.com/investor-relations
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C.",11/18/1998,1969,danaher.com,https://investors.danaher.com
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995,1938,darden.com,https://investor.darden.com/home/default.aspx
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,1979,davita.com,https://investors.davita.com
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837,deere.com,https://investor.deere.com
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,1929,delta.com,https://delta.com/investor-relations
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,2016 (1969),dentsplysirona.com,https://investor.dentsplysirona.com
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1971,devonenergy.com,https://devonenergy.com/investor-relations
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020,1999,dexcom.com,https://investors.dexcom.com/overview/default.aspx
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,2007,ir.diamondbackenergy.com,https://ir.diamondbackenergy.com/investors
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",5/18/2016,2004,digitalrealty.com,https://investor.digitalrealty.com
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985,discover.com,https://investorrelations.discover.com/investor-relations/stock-information/request-information/default.aspx
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1980,dish.com,https://about.dish.com/contacts
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1923,disney.com,https://investor.disney.com
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,1939,dollargeneral.com,https://investor.dollargeneral.com
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,1986,dollartree.com,https://dollartree.com/investors
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983,dominionenergy.com,https://investors.dominionenergy.com/search-results/default.aspx
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020,1960,dominos.co.in,https://ir.dominos.com/
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,1955,dovercorporation.com,https://www.dovercorporation.com/investors/overview
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019,dow.com,https://investors.dow.com/en/reporting/default.aspx
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995,dteenergy.com,https://dteenergy.com/investors
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1904,duke-energy.com,https://investors.duke-energy.com/overview/default.aspx
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/2019,2017,dupont.com,https://investor.dupont.com
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017,dxc.com,https://investors.dxc.com/investor-relations/default.aspx
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920,eastman.com,https://investors.eastman.com/overview/default.aspx
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/1957,1911,eaton.com,https://www.eaton.com/us/en-us/company/investor-relations.html
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/2002,1995,ebay.com,https://investors.ebayinc.com/overview/default.aspx
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/1989,1923,ecolab.com,https://www.slidegenius.com/cm-faq-question/where-can-i-access-the-investor-relations-presentations-for-ecolab
