Ticker,Name,Industry,Sub-Industry,Headquarters Location,Date added,Founded,domain,investor_page
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886,edison.com,https://edison.com/investors
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958,edwards.com,https://ir.edwards.com/events-presentations/event-details/2021/2021-Edwards-Lifesciences-Investor-Conference/default.aspx
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,1982,ea.com,https://investingsnacks.com/electronic-arts-pif-buyout-details-ea/
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1946),elevancehealth.com,https://ir.elevancehealth.com/investors/default.aspx
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876,lilly.com,https://investor.lilly.com
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/1965,1890,emerson.com,https://emerson.com/investors
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",1/7/2021,2006,enphase.com,https://investor.enphase.com
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913,entergy.com,https://investors.entergy.com/investors/overview/default.aspx
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,1999,eogresources.com,https://investors.eogresources.com
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/2021,1993,epam.com,https://investors.epam.com/overview/default.aspx
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/2022,1888,eqt.com,https://media.eqt.com/investor-relations/resources/investor-email-alerts/default.aspx
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/1997,1899,equifax.com,https://investor.equifax.com
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1998,equinix.com,https://investor.equinix.com
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/2001,1969,equityapartments.com,https://investors.equityapartments.com/overview/corporate-profile/default.aspx
ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971,essexapartmenthomes.com,https://investors.essexapartmenthomes.com/overview/default.aspx
EL,Est?e Lauder Companies (The),Consumer Staples,Personal Products,"New York City, New York",1/5/2006,1946,elcompanies.com,https://www.elcompanies.com/en/investors
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",9/21/2020,2005,etsy.com,https://investor.etsy.com
RE,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1973,everestglobal.com,https://investors.everestglobal.com/ir-resources/investor-contacts/default.aspx
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909,evergy.com,https://investors.evergy.com
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,1966,eversource.com,https://eversource.com/investor-relations
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000,exeloncorp.com,https://investors.exeloncorp.com
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/2007,1996,expediagroup.com,https://www.expediagroup.com/investors/investors-overview/default.aspx
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,1979,expeditors.com,https://www.insidermonkey.com/blog/expeditors-international-of-washington-inc-expd-vs-hedge-fund-favorites-in-2019-816689/
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/2016,1977,extraspace.com,https://ir.extraspace.com/overview/default.aspx
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999,exxonmobil.com,https://investor.exxonmobil.com
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/2010,1996,f5.com,https://investors.f5.com
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/2021,1978,factset.com,https://investor.factset.com
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",9/15/2008,1967,investor.fastenal.com,https://investor.fastenal.com/investor-overview/default.aspx
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962,federalrealty.com,https://federalrealty.com/investor-relations
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1971,fedex.com,https://quartr.com/companies/fedex-corporation_6307
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",3/29/1996,1858,53.com,https://53.com/investor-relations
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1985,firstrepublic.com,http://andydeluce.com/nhgtay/synovus-investor-relations.html
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/2022,1999,firstsolar.com,https://www.firstsolar.com/investor-relations
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/1997,1997,firstenergycorp.com,https://www.ipaddress.com/website/firstenergycorp.com/
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",11/10/2006,1968,fisglobal.com,https://fisglobal.com/investors
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984,fiserv.com,https://investors.fiserv.com
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",6/20/2018,2000,fleetcor.com,https://investor.fleetcor.com
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,1883,fmc.com,https://investors.fmc.com/home/default.aspx
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903,ford.com,https://shareholder.ford.com/home/default.aspx
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/2018,2000,fortinet.com,https://investor.fortinet.com
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016,fortive.com,https://investors.fortive.com
FOXA,Fox CorporationÂ (Class A),Communication Services,Movies & Entertainment,"New York City, New York",7/1/2013,2019,foxcorporation.com,https://investor.foxcorporation.com
FOX,Fox CorporationÂ (Class B),Communication Services,Movies & Entertainment,"New York City, New York",9/18/2015,2019,investor.foxcorporation.com,https://investor.foxcorporation.com/
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",4/30/1998,1947,franklintempleton.com.au,https://franklintempleton.com.au/investor-relations
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,1912,fcx.com,https://seekingalpha.com/symbol/FCX/press-releases
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1989,garmin.com,https://garmin.com/investors
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979,gartner.com,https://investor.gartner.com
GEHC,GE HealthCare,Health Care,Health Care Technology,"Chicago, Illinois",1/4/2023,1994,gehealthcare.com,https://investor.gehealthcare.com
GEN,Gen Digital,Information Technology,Application Software,"Tempe, Arizona",3/25/2003,1982,gendigital.com,https://investor.gendigital.com
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/2021,1959,generac.com,https://investors.generac.com
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899,gd.com,https://investorrelations.gd.com/ir-home/default.aspx
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",3/4/1957,1892,ge.com,https://ge.com/investor-relations
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/1957,1856,generalmills.com,https://investor.generalmills.com
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908,gm.com,https://investor.gm.com
GPC,Genuine Parts Company,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,1925,genpt.com,https://genpt.com/investor-relations
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,1987,gilead.com,https://investors.gilead.com/overview/default.aspx
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,1900,globelifeinsurance.com,https://investors.globelifeinsurance.com
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,2000,globalpayments.com,https://investors.globalpayments.com
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",7/22/2002,1869,goldmansachs.com,https://goldmansachs.com/investor-relations
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919,halliburton.com,https://halliburton.com/investors
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810,thehartford.com,http://ir.thehartford.com.ayouweb.com/
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,1923,hasbro.com,https://investor.hasbro.com
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville,Â Tennessee",1/27/2015,1968,hcahealthcare.com,https://hcahealthcare.com/investors
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,1985,healthpeak.com,https://ir.healthpeak.com/overview/default.aspx
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1932,henryschein.com,https://investor.henryschein.com/overview/default.aspx
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894,thehersheycompany.com,https://investor.thehersheycompany.com
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York",5/31/1984,1919,hess.com,https://investors.hess.com
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/2015,2015,hewlett.org,https://www.influencewatch.org/non-profit/william-and-flora-hewlett-foundation/
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1919,hilton.com,https://ir.hilton.com/
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,1985,hologic.com,https://hologic.com/investor-relations
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,1978,corporate.homedepot.com/page/about-us,https://corporate.homedepot.com/page/about-us
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/4/1957,1906,honeywell.com,https://investor.honeywell.com
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891,hormelfoods.com,https://www.hormelfoods.com/newsroom/press-releases/hormel-foods-announces-inspired-giving-commitment-to-support-equity-and-education/
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1993,hosthotels.com,https://www.hosthotels.com/investor-relations
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/4/1957,2016,howmet.com,https://howmet.com/investors
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,1939 (2015),hp.com,https://investor.hp.com/overview/default.aspx
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",,1961,humana.com,https://humana.com/investor-relations
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio;Â Detroit, Michigan",8/28/1997,1866,huntington.com,https://ir.huntington.com/
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011,huntington.com,https://ir.huntington.com/
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911,ibm.com,https://www.ibm.com/investor
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988,idexcorp.com,https://investors.idexcorp.com
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983,idexx.com,https://www.idexx.com/en/about-idexx/investors/
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,1912,itw.com,https://shareholder.broadridge.com/itw/
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1998,illumina.com,https://investor.illumina.com
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,1991,incyte.com,https://investor.incyte.com
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",3/3/2020,1859,ingersollrand.com,https://investor.ingersollrand.com
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts",3/15/2023,2000,insulet.com,https://investor.insulet.com/overview/default.aspx
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,1968,intel.com,https://www.intc.com/
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,2000,theice.com,https://theice.com/investor-relations
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",3/31/1976,1958 (1889),iff.com,https://www.valeriemevans.com/portfolio/iff-investor-relations-website-redesign-an-intrado-digital-media-award-winner/
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",3/4/1957,1898,internationalpaper.com,https://internationalpaper.com/investors
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",10/1/1992,1961 (1930),omc.com,https://investor.omc.com/
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",12/5/2000,1983,intuit.com,https://investor.intuit.com
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1995,intuitive.com,https://intuitive.com/investor-relations
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,1935,invesco.com,https://invesco.com/investors
INVH,Invitation Homes,Real Estate,Residential REITs,"Dallas, Texas",9/19/2022,2012,invitationhomes.com,https://www.invh.com/home/default.aspx
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017,1982,iqvia.com,https://ir.iqvia.com/overview/default.aspx
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1951,ironmountain.com,https://investors.ironmountain.com/overview/
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",7/1/2015,1961,jbhunt.com,https://investor.jbhunt.com/
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,1976,jackhenry.com,https://www.ir.jackhenry.com/
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007,1947,jacobs.com,https://invest.jacobs.com/overview/default.aspx
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973,1886,jnj.com,https://www.investor.jnj.com/overview/default.aspx
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",8/27/2010,1885,johnsoncontrols.com,https://investors.johnsoncontrols.com
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",6/30/1975,2000 (1799 / 1871),jpmorganchase.com,https://jpmorganchase.com/investor-relations
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006,1996,juniper.net,https://investor.juniper.net/investor-relations/default.aspx
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",9/11/1989,1906,kelloggs.com,https://www.wkkellogg.com/investors
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,"Burlington, Massachusetts",6/21/2022,1981,keurigdrpepper.com,https://investors.keurigdrpepper.com
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,1825,key.com,http://asiamedic.listedcompany.com/management.html/print/1?
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,2014 (1939),keysight.com,https://investor.keysight.com/investor-relations/default.aspx
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",3/4/1957,1872,kimberly-clark.com,https://investor.kimberly-clark.com/
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,1958,kimcorealty.com,https://investors.kimcorealty.com
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1997,kindermorgan.com,https://ir.kindermorgan.com/home/default.aspx
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",9/30/1997,1975/1977 (1997),kla.com,https://ir.kla.com/news-events/press-releases/detail/497/kla-announces-upcoming-investor-webcast
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois;Â Pittsburgh, Pennsylvania",7/6/2015,2015 (1869),kraftheinz.com,https://ir.kraftheinzcompany.com/
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/1957,1883,kroger.com,https://ir.kroger.com/resources/investor-contacts/default.aspx
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/2008,2019 (1895),l3harris.com,https://l3harris.com/investors
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,1978,labcorp.com,https://labcorp.com/investors
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,1980,lamresearch.com,https://investor.lamresearch.com
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/2018,2016 (1950),lambweston.com,https://news.lambweston.com/newsroom-home/press-release-details/2024/Lamb-Weston-Announces-Addition-of-New-Director/default.aspx
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1988,sands.com,https://investor.sands.com/Home/default.aspx
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",8/9/2019,1969,leidos.com,https://investors.leidos.com
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005,1954,lennar.com,https://lennar.com/investors
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,1905,lincolnfinancial.com,https://lincolnfinancial.com/investor-relations
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",7/1/1992,1879,linde.com,https://investor.linde.com
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019,2010,livenation.com ,https://investors.livenationentertainment.com/
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,1998,lkqonline.com,https://lkqonline.com/investor-relations
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",3/4/1957,1995,lockheedmartin.com,https://investors.lockheedmartin.com
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",5/31/1995,1959,loews.com,https://ir.loews.com/investors/overview/default.aspx
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,1904/1946/1959,lowes.com,https://quartr.com/companies/lowe-s-companies-inc_3733
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,1983 (1877),lumen.com,https://news.lumen.com/2025-05-21-Lumen-Technologies-Advances-Enterprise-Market-Focus-with-Sale-of-Consumer-Fiber-to-the-Home-Business-to-AT-T
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,2007,lyondellbasell.com,https://investors.lyondellbasell.com/resources/investor-contacts/default.aspx
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2/23/2004,1856,mtb.com,https://ir.mtb.com/news-releases/news-release-details/mt-bank-corporation-announces-increased-common-stock-dividend-6
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,1887,marathon.com,https://marathon.com/investor-relations
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,2009 (1887),marathonpetroleum.com,https://www.marathonpetroleum.com/Investors/
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",7/1/2019,2000,marketaxess.com,https://marketaxess.com/investor-relations
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",5/29/1998,1927,marriott.com,https://marriott.gcs-web.com/
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",8/31/1987,1905,marsh.com,https://www.zoominfo.com/c/marsh-llc/348458074
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,1993,martinmarietta.com,https://martinmarietta.com/investor-relations
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",6/30/1981,1929,masco.com,https://investor.masco.com/investor-resources/analyst-coverage/default.aspx
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/2008,1966,mastercard.com,https://investor.mastercard.com/overview/default.aspx
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",9/20/2021,1986,mtch.com,https://quartr.com/companies/match-group-inc_4231
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/2003,1889,mccormickcorporation.com,https://www.mccormickcorporation.com/en/responsibility
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,1940,corporate.mcdonalds.com/corpmcd/investors.html,http://www.fegroupblog.com/2018/11/panera-founder-on-activist-investors.html
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",1/13/1999,1833,mckesson.com,https://investor.mckesson.com/overview/default.aspx
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,1949,medtronic.com,https://investorrelations.medtronic.com/
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/1957,1891,merck.com,https://investors.merck.com
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,2004,meta.com,https://investor.atmeta.com/home/default.aspx
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",12/11/2000,1868,metlife.com,https://investor.metlife.com/overview/default.aspx
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1945,mt.com,https://investor.mt.com/investor-home/default.aspx
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,1986,mgmresorts.com,https://investors.mgmresorts.com/investors/overview/default.aspx
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,1989,microchip.com,https://www.microchip.com/en-us/about/news-releases/corporate/microchip-launches-300m-investment-in-india
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,1978,micron.com,https://investors.micron.com/
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,1975,microsoft.com,https://microsoft.com/investor-relations
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,1977,maac.com,http://ir.maac.com.ayouweb.com/
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",7/21/2021,2010,modernatx.com,https://investor.modernatx.com
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013,1878,mohawkind.com,https://mohawkind.com/investor-relations
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",3/2/2022,1980,molinahealthcare.com,https://investors.molinahealthcare.com
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",6/30/1976,"2005 (Molson 1786, Coors 1873)",molsoncoors.com,https://molsoncoors.com/investor-relations
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/2012,2012,mondelezinternational.com,https://mondelezinternational.com/investors
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2/12/2021,1997,monolithicpower.com,https://investor.monolithicpower.com
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,2012 (1935),investors.monsterbevcorp.com,https://investors.monsterbevcorp.com/investor-relations
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",7/1/1998,1909,moodys.com,https://moodys.com/investor-relations
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",7/29/1993,1935,morganstanley.com,https://www.morganstanley.com/about-us-ir
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011,2004 (1865 / 1909),mosaicco.com,https://mosaicco.com/investors
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",3/4/1957,1928 (2011),motorolasolutions.com,https://investors.motorolasolutions.com
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4/4/2018,1969,msci.com,https://ir.msci.com/
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",10/22/2008,1971,nasdaq.com,https://ir.nasdaq.com/
